,address,bds,cost
147,"Addison | 144 Addison St, Boston, MA",Studio,"$2,481+"
148,"Addison | 144 Addison St, Boston, MA",1 bd,"$2,497+"
149,"Addison | 144 Addison St, Boston, MA",2 bd,"$2,945+"
150,"The Harvey | 50 Hood Park Dr, Boston, MA",Studio,"$2,902+"
151,"The Harvey | 50 Hood Park Dr, Boston, MA",1 bd,"$3,112+"
152,"The Harvey | 50 Hood Park Dr, Boston, MA",2 bd,"$5,243+"
153,"Malvern Place Apartments, 40 Malvern St #502, Allston, MA 02134",2 bds,"$4,150/mo"
154,"Alder at Allston Yards | 301 Guest St, Brighton, MA",Studio,"$3,275+"
155,"Alder at Allston Yards | 301 Guest St, Brighton, MA",1 bd,"$3,540+"
156,"Alder at Allston Yards | 301 Guest St, Brighton, MA",2 bd,"$4,950+"
157,"Alder at Allston Yards | 301 Guest St, Brighton, MA",3 bd,"$5,999+"
158,"Woodstock Ave | 63 Woodstock Ave, Brighton, MA",Studio,"$1,950+"
159,"The Monroe | 105 Washington St, Brighton, MA",2 bd,"$4,300+"
160,"One Greenway | 99 Kneeland St, Boston, MA",1 bd,"$3,397+"
161,"One Greenway | 99 Kneeland St, Boston, MA",2 bd,"$4,306+"
162,"100 Jersey St. | 50 Peterborough St, Boston, MA",1 bd,"$3,200+"
163,"100 Jersey St. | 50 Peterborough St, Boston, MA",2 bd,"$4,200+"
164,"Avalon at Prudential Center | 770 Boylston St, Boston, MA",Studio,"$3,240+"
165,"Avalon at Prudential Center | 770 Boylston St, Boston, MA",1 bd,"$3,620+"
166,"Avalon at Prudential Center | 770 Boylston St, Boston, MA",2 bd,"$5,885+"
167,"Avalon at Prudential Center | 770 Boylston St, Boston, MA",3 bd,"$9,493+"
168,"Portside at East Pier | 40 E Pier Dr, Boston, MA",Studio,"$2,589+"
169,"Portside at East Pier | 40 E Pier Dr, Boston, MA",1 bd,"$2,752+"
170,"Portside at East Pier | 40 E Pier Dr, Boston, MA",2 bd,"$4,147+"
