address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu
"Garrison Square | 7 Harcourt St, Boston, MA",2,4875,1.7 km,7.0 km,3.0 km,2.0 km
"1200 Commonwealth Ave | 1200 Commonwealth Ave, Allston, MA",2,2895,11.4 km,5.4 km,11.7 km,4.9 km
"Devonshire | 1 Devonshire Pl, Boston, MA",1,3470,5.1 km,9.2 km,3.4 km,4.5 km
"Devonshire | 1 Devonshire Pl, Boston, MA",2,4161,5.1 km,9.2 km,3.4 km,4.5 km
"Boston East | 126 Border St, East Boston, MA",Studio,2664,7.8 km,11.6 km,6.5 km,7.3 km
"Boston East | 126 Border St, East Boston, MA",1,2613,7.8 km,11.6 km,6.5 km,7.3 km
"Boston East | 126 Border St, East Boston, MA",2,3358,7.8 km,11.6 km,6.5 km,7.3 km
"Commonwealth Gardens | 1131 Commonwealth Ave, Allston, MA",3,3350,4.8 km,2.3 km,4.6 km,1.3 km
"225 Centre | 225 Centre St, Roxbury, MA",1,2700,1.9 km,8.7 km,5.6 km,4.0 km
"225 Centre | 225 Centre St, Roxbury, MA",2,3400,1.9 km,8.7 km,5.6 km,4.0 km
"225 Centre | 225 Centre St, Roxbury, MA",3,4800,1.9 km,8.7 km,5.6 km,4.0 km
"28 Fleet St | 28 Fleet St, Boston, MA",2,3500,7.3 km,10.0 km,5.6 km,5.8 km
"28 Fleet St | 28 Fleet St, Boston, MA",3,4700,7.3 km,10.0 km,5.6 km,5.8 km
"28 Fleet St | 28 Fleet St, Boston, MA",4,6400,7.3 km,10.0 km,5.6 km,5.8 km
"Bower | 771 Beacon St, Boston, MA",Studio,3552,1.7 km,2.9 km,3.3 km,0.8 km
"Bower | 771 Beacon St, Boston, MA",1,3402,1.7 km,2.9 km,3.3 km,0.8 km
"Bower | 771 Beacon St, Boston, MA",2,6237,1.7 km,2.9 km,3.3 km,0.8 km
"Boylston St, 40 | 40 Boylston St, Boston, MA",1,3000,4.5 km,8.7 km,6.1 km,6.9 km
"Boylston St, 40 | 40 Boylston St, Boston, MA",2,4000,4.5 km,8.7 km,6.1 km,6.9 km
"Lantera at Boston Landing | 125 Guest St, Boston, MA",Studio,2474,8.7 km,2.5 km,5.7 km,2.4 km
"Lantera at Boston Landing | 125 Guest St, Boston, MA",1,3126,8.7 km,2.5 km,5.7 km,2.4 km
"Lantera at Boston Landing | 125 Guest St, Boston, MA",2,4143,8.7 km,2.5 km,5.7 km,2.4 km
"Lantera at Boston Landing | 125 Guest St, Boston, MA",3,5926,8.7 km,2.5 km,5.7 km,2.4 km
"One Canal Apartments | 1 Canal St, Boston, MA",Studio,2977,5.3 km,9.0 km,3.5 km,4.7 km
"One Canal Apartments | 1 Canal St, Boston, MA",1,3418,5.3 km,9.0 km,3.5 km,4.7 km
"One Canal Apartments | 1 Canal St, Boston, MA",2,4797,5.3 km,9.0 km,3.5 km,4.7 km
"Coppersmith Village, 99 Border St #310, Boston, MA 02128",2,3150,7.9 km,11.6 km,6.5 km,7.4 km
"James and Harrison Court | 45 E Newton St, Boston, MA",Studio,3335,1.6 km,10.2 km,4.1 km,3.0 km
"James and Harrison Court | 45 E Newton St, Boston, MA",1,3255,1.6 km,10.2 km,4.1 km,3.0 km
"James and Harrison Court | 45 E Newton St, Boston, MA",2,3920,1.6 km,10.2 km,4.1 km,3.0 km
"The Harlo | 1350 Boylston St, Boston, MA",Studio,3250,1.2 km,6.1 km,2.9 km,1.2 km
"The Harlo | 1350 Boylston St, Boston, MA",1,4165,1.2 km,6.1 km,2.9 km,1.2 km
"The Harlo | 1350 Boylston St, Boston, MA",2,5925,1.2 km,6.1 km,2.9 km,1.2 km
"Hamilton Union | 435 Cambridge St, Allston, MA",1,2100,5.4 km,1.7 km,4.6 km,1.6 km
"Hamilton Union | 435 Cambridge St, Allston, MA",2,2600,5.4 km,1.7 km,4.6 km,1.6 km
"Hamilton Union | 435 Cambridge St, Allston, MA",3,3150,5.4 km,1.7 km,4.6 km,1.6 km
"Hamilton Union | 435 Cambridge St, Allston, MA",4,3750,5.4 km,1.7 km,4.6 km,1.6 km
"Atlas Residences, 223 Harvard Ave APT 8, Allston, MA 02134",2,3400,4.0 km,2.3 km,4.5 km,1.2 km
"Courtyard at North Beacon | 140 N Beacon St, Brighton, MA",2,3200,8.8 km,2.5 km,5.7 km,2.4 km
"3-15 Lorraine Terrace | 3 Lorraine Ter, Allston, MA",2,2895,4.5 km,2.8 km,5.3 km,2.0 km
"3-15 Lorraine Terrace | 3 Lorraine Ter, Allston, MA",3,3495,4.5 km,2.8 km,5.3 km,2.0 km
"Mezzo Design Lofts | 30 Caldwell St, Charlestown, MA",Studio,2268,8.4 km,4.2 km,5.0 km,7.9 km
"Mezzo Design Lofts | 30 Caldwell St, Charlestown, MA",1,2917,8.4 km,4.2 km,5.0 km,7.9 km
"Mezzo Design Lofts | 30 Caldwell St, Charlestown, MA",2,4262,8.4 km,4.2 km,5.0 km,7.9 km
"AVA Back Bay | 790 Boylston St, Boston, MA",Studio,3225,2.1 km,6.2 km,2.5 km,1.5 km
"AVA Back Bay | 790 Boylston St, Boston, MA",1,3990,2.1 km,6.2 km,2.5 km,1.5 km
"AVA Back Bay | 790 Boylston St, Boston, MA",2,6085,2.1 km,6.2 km,2.5 km,1.5 km
"AVA Back Bay | 790 Boylston St, Boston, MA",3,8660,2.1 km,6.2 km,2.5 km,1.5 km
"80 Fuller Street, 80 Fuller St, Dorchester Center, MA 02124",3,4500,11.2 km,18.6 km,16.6 km,17.4 km
"Gardner Terrace, 9 Gardner Ter, Allston, MA 02134",3,4200,6.1 km,2.4 km,5.3 km,1.1 km
"Ora Seaport | 899 Congress St, Boston, MA",Studio,2926,5.7 km,10.0 km,8.1 km,10.0 km
"Ora Seaport | 899 Congress St, Boston, MA",1,3992,5.7 km,10.0 km,8.1 km,10.0 km
"Ora Seaport | 899 Congress St, Boston, MA",2,5298,5.7 km,10.0 km,8.1 km,10.0 km
"Ora Seaport | 899 Congress St, Boston, MA",3,7513,5.7 km,10.0 km,8.1 km,10.0 km
"16-18 Highgate, 16 Highgate St #303, Allston, MA 02134",2,3895,5.5 km,1.8 km,4.7 km,1.4 km
"Trac 75 | 75 Braintree St, Allston, MA",Studio,3115,5.5 km,1.8 km,4.7 km,1.7 km
"Trac 75 | 75 Braintree St, Allston, MA",1,3000,5.5 km,1.8 km,4.7 km,1.7 km
"Trac 75 | 75 Braintree St, Allston, MA",2,4130,5.5 km,1.8 km,4.7 km,1.7 km
"BLDG 89 | 89 Brighton Ave, Allston, MA",1,3347,5.5 km,1.9 km,4.7 km,1.7 km
"The Bennington, 917 Bennington St #206, Boston, MA 02128",2,3200,11.5 km,16.6 km,10.2 km,11.0 km
"The Brookliner | 5 Washington St, Brighton, MA",Studio,3332,4.6 km,3.7 km,5.7 km,2.4 km
"The Brookliner | 5 Washington St, Brighton, MA",1,3384,4.6 km,3.7 km,5.7 km,2.4 km
"The Brookliner | 5 Washington St, Brighton, MA",2,4498,4.6 km,3.7 km,5.7 km,2.4 km
"80 Sutherland | 80 Sutherland Rd, Brighton, MA",1,2400,5.6 km,4.1 km,6.6 km,3.3 km
"80 Sutherland | 80 Sutherland Rd, Brighton, MA",2,2750,5.6 km,4.1 km,6.6 km,3.3 km
"Westland Avenue | 66 Westland Ave, Boston, MA",1,2151,0.2 km,5.9 km,2.7 km,1.3 km
"Westland Avenue | 66 Westland Ave, Boston, MA",2,2850,0.2 km,5.9 km,2.7 km,1.3 km
"100 Pier 4 | 100 Pier 4 Blvd, Boston, MA",Studio,3252,5.4 km,10.1 km,7.6 km,8.4 km
"100 Pier 4 | 100 Pier 4 Blvd, Boston, MA",1,3778,5.4 km,10.1 km,7.6 km,8.4 km
"100 Pier 4 | 100 Pier 4 Blvd, Boston, MA",2,4492,5.4 km,10.1 km,7.6 km,8.4 km
"1-6 Ashford Court, 1 Ashford Ct #505, Allston, MA 02134",1,3500,5.7 km,2.0 km,4.9 km,1.2 km
"The Eddy | 10 New St, Boston, MA",Studio,2622,8.2 km,11.9 km,6.8 km,7.7 km
