address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu
"Kilsyth Manor Apartments | 111 Kilsyth Rd, Brighton, MA",1,2395,5.1 km,4.0 km,6.5 km,3.2 km
"Kilsyth Manor Apartments | 111 Kilsyth Rd, Brighton, MA",2,3125,5.1 km,4.0 km,6.5 km,3.2 km
"Kilsyth Manor Apartments | 111 Kilsyth Rd, Brighton, MA",3,3595,5.1 km,4.0 km,6.5 km,3.2 km
"315 on A | 315 A St, Boston, MA",Studio,2905,4.9 km,10.1 km,6.0 km,6.8 km
"315 on A | 315 A St, Boston, MA",1,3445,4.9 km,10.1 km,6.0 km,6.8 km
"315 on A | 315 A St, Boston, MA",2,4845,4.9 km,10.1 km,6.0 km,6.8 km
"Bowdoin School Apartments | 45 Myrtle St, Boston, MA",1,3000,4.0 km,7.8 km,3.6 km,3.5 km
"Bowdoin School Apartments | 45 Myrtle St, Boston, MA",2,3540,4.0 km,7.8 km,3.6 km,3.5 km
"33-39 Maverick Square, 33 Maverick Sq #301, Boston, MA 02128",2,2800,8.2 km,11.9 km,6.8 km,7.6 km
"Ashford Street | 53-55 Ashford St, Allston, MA",2,2950,5.7 km,2.0 km,4.9 km,1.5 km
"Van Ness | 1335 Boylston St, Boston, MA",Studio,3668,1.2 km,6.1 km,2.9 km,1.2 km
"Van Ness | 1335 Boylston St, Boston, MA",1,4674,1.2 km,6.1 km,2.9 km,1.2 km
"Morton Village | 65 Morton Village Dr, Mattapan, MA",Studio,1371,7.9 km,19.8 km,17.7 km,10.6 km
"Morton Village | 65 Morton Village Dr, Mattapan, MA",1,1449,7.9 km,19.8 km,17.7 km,10.6 km
"Morton Village | 65 Morton Village Dr, Mattapan, MA",2,1729,7.9 km,19.8 km,17.7 km,10.6 km
"1384 Commonwealth | 1384 Commonwealth Ave, Allston, MA",Studio,1950,4.6 km,3.0 km,5.0 km,1.8 km
"1384 Commonwealth | 1384 Commonwealth Ave, Allston, MA",1,2300,4.6 km,3.0 km,5.0 km,1.8 km
"1384 Commonwealth | 1384 Commonwealth Ave, Allston, MA",2,2650,4.6 km,3.0 km,5.0 km,1.8 km
"1212 Commonwealth ave | 1212 Commonwealth Ave, Allston, MA",1,1950,11.4 km,5.4 km,11.7 km,4.9 km
"The Towers at Longfellow | 72 Staniford St, Boston, MA",Studio,2525,4.5 km,8.3 km,2.9 km,4.0 km
"The Towers at Longfellow | 72 Staniford St, Boston, MA",1,2950,4.5 km,8.3 km,2.9 km,4.0 km
"The Towers at Longfellow | 72 Staniford St, Boston, MA",2,4675,4.5 km,8.3 km,2.9 km,4.0 km
"The Towers at Longfellow | 72 Staniford St, Boston, MA",3,5575,4.5 km,8.3 km,2.9 km,4.0 km
"The Sudbury | 100 Sudbury St, Boston, MA",Studio,3495,6.5 km,10.6 km,3.8 km,5.2 km
"The Sudbury | 100 Sudbury St, Boston, MA",1,3860,6.5 km,10.6 km,3.8 km,5.2 km
"The Sudbury | 100 Sudbury St, Boston, MA",2,6520,6.5 km,10.6 km,3.8 km,5.2 km
"The Sudbury | 100 Sudbury St, Boston, MA",3,7485,6.5 km,10.6 km,3.8 km,5.2 km
"77-81 Park Drive | 77 Park Dr, Boston, MA",1,2800,1.0 km,6.3 km,4.2 km,1.7 km
"77-81 Park Drive | 77 Park Dr, Boston, MA",2,3800,1.0 km,6.3 km,4.2 km,1.7 km
"77-81 Park Drive | 77 Park Dr, Boston, MA",3,4400,1.0 km,6.3 km,4.2 km,1.7 km
"The Alyx | 131 Seaport Blvd, Boston, MA",Studio,3526,5.5 km,10.1 km,7.6 km,8.5 km
"The Alyx | 131 Seaport Blvd, Boston, MA",1,4413,5.5 km,10.1 km,7.6 km,8.5 km
"The Alyx | 131 Seaport Blvd, Boston, MA",2,5400,5.5 km,10.1 km,7.6 km,8.5 km
"The Alyx | 131 Seaport Blvd, Boston, MA",3,11748,5.5 km,10.1 km,7.6 km,8.5 km
"117 Park Drive | 117 Park Dr, Boston, MA",Studio,2400,1.3 km,3.7 km,4.1 km,1.6 km
"117 Park Drive | 117 Park Dr, Boston, MA",1,2800,1.3 km,3.7 km,4.1 km,1.6 km
"117 Park Drive | 117 Park Dr, Boston, MA",2,3850,1.3 km,3.7 km,4.1 km,1.6 km
"Mercantile Wharf, 111 Atlantic Ave APT 220, Boston, MA 02109",1,3425,5.4 km,9.6 km,3.8 km,4.9 km
"191-195 Park Drive | 191 Park Dr, Boston, MA",Studio,2300,1.3 km,3.4 km,3.8 km,1.3 km
"191-195 Park Drive | 191 Park Dr, Boston, MA",1,2600,1.3 km,3.4 km,3.8 km,1.3 km
"191-195 Park Drive | 191 Park Dr, Boston, MA",2,3199,1.3 km,3.4 km,3.8 km,1.3 km
"39 & 41 Shepard Street | 39 Shepard St, Brighton, MA",1,2495,7.2 km,3.4 km,6.4 km,3.5 km
"39 & 41 Shepard Street | 39 Shepard St, Brighton, MA",2,2395,7.2 km,3.4 km,6.4 km,3.5 km
"Avalon Exeter | 77 Exeter St, Boston, MA",Studio,4195,1.8 km,6.7 km,3.4 km,2.4 km
"Avalon Exeter | 77 Exeter St, Boston, MA",1,4807,1.8 km,6.7 km,3.4 km,2.4 km
"Avalon Exeter | 77 Exeter St, Boston, MA",2,6645,1.8 km,6.7 km,3.4 km,2.4 km
"Avalon Exeter | 77 Exeter St, Boston, MA",3,12575,1.8 km,6.7 km,3.4 km,2.4 km
"32-40 Queensberry | 32 Queensberry St, Boston, MA",Studio,2300,0.7 km,6.3 km,3.2 km,2.1 km
"32-40 Queensberry | 32 Queensberry St, Boston, MA",1,2500,0.7 km,6.3 km,3.2 km,2.1 km
"32-40 Queensberry | 32 Queensberry St, Boston, MA",2,3400,0.7 km,6.3 km,3.2 km,2.1 km
"5 Royce | 5 Royce Rd, Allston, MA",Studio,2000,4.1 km,2.5 km,4.7 km,1.4 km
"5 Royce | 5 Royce Rd, Allston, MA",1,2400,4.1 km,2.5 km,4.7 km,1.4 km
"5 Royce | 5 Royce Rd, Allston, MA",2,2700,4.1 km,2.5 km,4.7 km,1.4 km
"VIA Seaport Residences | 5 Fan Pier Blvd, Boston, MA",Studio,2729,5.6 km,9.4 km,5.6 km,6.4 km
"VIA Seaport Residences | 5 Fan Pier Blvd, Boston, MA",1,3232,5.6 km,9.4 km,5.6 km,6.4 km
"VIA Seaport Residences | 5 Fan Pier Blvd, Boston, MA",2,5778,5.6 km,9.4 km,5.6 km,6.4 km
"VIA Seaport Residences | 5 Fan Pier Blvd, Boston, MA",3,7094,5.6 km,9.4 km,5.6 km,6.4 km
"Stony Brook Commons | 390 Blue Ledge Dr, Roslindale, MA",Studio,1543,11.0 km,12.4 km,12.8 km,10.3 km
"Stony Brook Commons | 390 Blue Ledge Dr, Roslindale, MA",1,2684,11.0 km,12.4 km,12.8 km,10.3 km
"Stony Brook Commons | 390 Blue Ledge Dr, Roslindale, MA",2,2641,11.0 km,12.4 km,12.8 km,10.3 km
"Stony Brook Commons | 390 Blue Ledge Dr, Roslindale, MA",3,3251,11.0 km,12.4 km,12.8 km,10.3 km
"11 Parker Hill | 11 Parker Hill Ave, Roxbury Crossing, MA",1,2600,1.6 km,4.7 km,5.1 km,2.6 km
"11 Parker Hill | 11 Parker Hill Ave, Roxbury Crossing, MA",2,3600,1.6 km,4.7 km,5.1 km,2.6 km
"1940 Commonwealth | 1940 Commonwealth Ave, Brighton, MA",Studio,2000,6.2 km,4.7 km,7.2 km,3.9 km
"1940 Commonwealth | 1940 Commonwealth Ave, Brighton, MA",1,2250,6.2 km,4.7 km,7.2 km,3.9 km
"1940 Commonwealth | 1940 Commonwealth Ave, Brighton, MA",2,2500,6.2 km,4.7 km,7.2 km,3.9 km
"The Lofts at Atlantic Wharf | 530 Atlantic Ave, Boston, MA",1,5350,4.6 km,8.8 km,5.2 km,6.1 km
"85 Strathmore | 85 Strathmore Rd, Brighton, MA",Studio,1900,5.4 km,4.2 km,6.7 km,3.4 km
"85 Strathmore | 85 Strathmore Rd, Brighton, MA",1,2200,5.4 km,4.2 km,6.7 km,3.4 km
"85 Strathmore | 85 Strathmore Rd, Brighton, MA",2,2500,5.4 km,4.2 km,6.7 km,3.4 km
"Gardner St, 34 | 34 Gardner St, Boston, MA",Studio,1975,5.8 km,2.1 km,5.0 km,1.6 km
"Gardner St, 34 | 34 Gardner St, Boston, MA",2,2400,5.8 km,2.1 km,5.0 km,1.6 km
"Brighton Avenue Apartments, 19-25 | 19-25 Brighton Ave, Allston, MA",1,1900,4.9 km,2.5 km,4.8 km,1.5 km
"Parklake, 1970 Commonwealth Ave #1980-32, Brighton, MA 02135",1,2100,6.3 km,4.8 km,7.3 km,4.0 km
"741-745 | 741-745 E 6th St, Boston, MA",2,3000,5.4 km,11.4 km,9.9 km,11.4 km
"741-745 | 741-745 E 6th St, Boston, MA",3,3700,5.4 km,11.4 km,9.9 km,11.4 km
"95-97 Endicott, 95 Endicott St, Boston, MA 02113",3,3600,6.3 km,10.4 km,3.6 km,5.0 km
"11 Woodside Ave #3A, Jamaica Plain, MA 02130",3,3100,3.5 km,10.2 km,8.2 km,5.8 km
"9-11 Moraine St #2, Boston, MA 02130",3,4300,3.4 km,6.2 km,6.6 km,4.1 km
"200 Highland St, Roxbury, MA",3,3300,2.1 km,8.8 km,5.7 km,4.4 km
"345 Commonwealth Ave, Boston, MA",2,3400,1.2 km,5.5 km,1.8 km,0.8 km
"124 Marine Rd APT 1, South Boston, MA 02127",2,3400,4.7 km,11.4 km,11.8 km,12.6 km
"49 Leyden St #1, East Boston, MA 02128",2,3300,10.7 km,15.8 km,9.4 km,10.2 km
"393 W Broadway, Boston, MA",1,2550,4.3 km,9.9 km,7.8 km,8.6 km
"393 W Broadway, Boston, MA",2,3200,4.3 km,9.9 km,7.8 km,8.6 km
"5 Oswald St, Boston, MA",3,4650,1.5 km,7.9 km,4.7 km,2.9 km
"724 Parker St, Boston, MA",4,6800,1.4 km,7.8 km,4.7 km,3.2 km
"724 Parker St, Boston, MA",5,8000,1.4 km,7.8 km,4.7 km,3.2 km
"13 Sachem St, Mission Hill, MA",4,7600,1.6 km,7.9 km,4.8 km,2.9 km
"13 Sachem St, Mission Hill, MA",6,11400,1.6 km,7.9 km,4.8 km,2.9 km
"8 Sunset St, Roxbury Crossing, MA",4,7600,1.7 km,8.0 km,5.4 km,3.0 km
"8 Sunset St, Roxbury Crossing, MA",5,8750,1.7 km,8.0 km,5.4 km,3.0 km
"719 Parker St, Roxbury, MA",3,4500,1.5 km,7.9 km,4.7 km,3.3 km
"719 Parker St, Roxbury, MA",4,6000,1.5 km,7.9 km,4.7 km,3.3 km
"830-3 Huntington Ave, Boston, MA",3,4200,1.6 km,4.7 km,5.1 km,2.6 km
"830-3 Huntington Ave, Boston, MA",4,5500,1.6 km,4.7 km,5.1 km,2.6 km
"1778 Commonwealth Ave, Brighton, MA",6,9300,5.7 km,4.2 km,6.7 km,3.5 km
"1778 Commonwealth Ave, Brighton, MA",8,12000,5.7 km,4.2 km,6.7 km,3.5 km
"16 Sewall St, Boston, MA",4,7400,1.0 km,7.4 km,4.3 km,2.8 km
"13-19 Stanhope St, Boston, MA",1,5495,2.0 km,7.5 km,3.7 km,2.6 km
"13-19 Stanhope St, Boston, MA",2,6725,2.0 km,7.5 km,3.7 km,2.6 km
"68 Calumet St, Roxbury Crossing, MA",3,5700,1.4 km,7.8 km,4.6 km,2.8 km
"68 Calumet St, Roxbury Crossing, MA",4,7200,1.4 km,7.8 km,4.6 km,2.8 km
"4 Farrington Ave, Allston, MA",3,3750,5.4 km,1.8 km,4.7 km,1.4 km
"4 Farrington Ave, Allston, MA",5,6750,5.4 km,1.8 km,4.7 km,1.4 km
"78 Hillside St APT 3, Boston, MA 02120",4,6200,1.4 km,7.7 km,4.6 km,2.7 km
"160-162 E Berkeley St, Boston, MA",1,4100,2.7 km,7.7 km,7.0 km,3.6 km
"160-162 E Berkeley St, Boston, MA",3,5400,2.7 km,7.7 km,7.0 km,3.6 km
"39 Hemenway St APT 1, Boston, MA 02115",4,8000,1.2 km,5.8 km,2.6 km,1.2 km
"10 Carmel St, Roxbury Crossing, MA",3,4800,1.3 km,7.8 km,4.6 km,2.7 km
"10 Carmel St, Roxbury Crossing, MA",4,7600,1.3 km,7.8 km,4.6 km,2.7 km
"419 Hanover St, Boston, MA",2,3200,7.0 km,11.1 km,5.2 km,5.5 km
"16-18 Highgate St, Allston, MA",1,2450,5.5 km,1.8 km,4.7 km,1.4 km
"16-18 Highgate St, Allston, MA",2,3200,5.5 km,1.8 km,4.7 km,1.4 km
"16-18 Highgate St, Allston, MA",4,5295,5.5 km,1.8 km,4.7 km,1.4 km
"16-18 Highgate St, Allston, MA",5,6825,5.5 km,1.8 km,4.7 km,1.4 km
"55 Leo M Birmingham Pkwy, Brighton, MA",2,4400,9.9 km,2.5 km,6.0 km,3.1 km
"235 Park Dr, Boston, MA",1,2475,1.6 km,3.2 km,3.6 km,1.1 km
"235 Park Dr, Boston, MA",2,2950,1.6 km,3.2 km,3.6 km,1.1 km
"99 Salem St #2, Boston, MA 02113",2,3200,6.4 km,10.6 km,3.8 km,5.2 km
"34 Raymond St, Allston, MA",5,5000,6.2 km,0.7 km,4.8 km,3.5 km
"36 Cherokee St, Roxbury Crossing, MA",4,6400,1.6 km,7.9 km,4.7 km,2.9 km
"36 Cherokee St, Roxbury Crossing, MA",5,6250,1.6 km,7.9 km,4.7 km,2.9 km
"19 Parker Hill Ave, Boston, MA",4,7600,1.7 km,4.8 km,5.1 km,2.7 km
"19 Parker Hill Ave, Boston, MA",6,11100,1.7 km,4.8 km,5.1 km,2.7 km
"298 Commonwealth Ave APT 202, Boston, MA 02115",1,3300,1.5 km,5.8 km,2.2 km,1.1 km
"6 Bellvista Rd, Brighton, MA",2,2500,4.6 km,3.1 km,5.3 km,2.0 km
"50 Leo M Birmingham Pkwy, Brighton, MA",1,3575,8.0 km,1.8 km,8.1 km,6.5 km
"50 Leo M Birmingham Pkwy, Brighton, MA",2,4200,8.0 km,1.8 km,8.1 km,6.5 km
"84-86 Linden St, Allston, MA",2,5450,5.6 km,1.9 km,4.8 km,1.1 km
"84-86 Linden St, Allston, MA",3,5100,5.6 km,1.9 km,4.8 km,1.1 km
"84-86 Linden St, Allston, MA",4,5300,5.6 km,1.9 km,4.8 km,1.1 km
"655 Chiswick Rd, Brighton, MA",1,2950,6.2 km,4.1 km,7.2 km,3.9 km
"655 Chiswick Rd, Brighton, MA",2,3600,6.2 km,4.1 km,7.2 km,3.9 km
"44 Hillside St, Roxbury Crossing, MA",4,7600,1.5 km,7.9 km,4.7 km,2.9 km
"44 Hillside St, Roxbury Crossing, MA",5,9500,1.5 km,7.9 km,4.7 km,2.9 km
"64 N Margin St, Boston, MA",2,4200,6.4 km,10.5 km,3.7 km,5.1 km
"88 W Cedar St, Boston, MA",1,2800,4.5 km,8.2 km,2.8 km,3.9 km
"88 W Cedar St, Boston, MA",2,3500,4.5 km,8.2 km,2.8 km,3.9 km
"731 Parker St, Roxbury, MA",4,6800,1.5 km,7.9 km,4.7 km,3.2 km
"168-2 Endicott St, Boston, MA",1,2300,6.4 km,10.6 km,4.7 km,4.9 km
"168-2 Endicott St, Boston, MA",2,3400,6.4 km,10.6 km,4.7 km,4.9 km
"168-2 Endicott St, Boston, MA",3,4500,6.4 km,10.6 km,4.7 km,4.9 km
"185 Hillside St, Mission Hill, MA 02120",5,8000,1.6 km,8.0 km,5.4 km,2.9 km
"89 Hillside St, Mission Hill, MA",3,4700,1.4 km,7.7 km,4.6 km,2.7 km
"279 Lamartine St, Jamaica Plain, MA",4,5800,3.2 km,7.4 km,7.8 km,5.3 km
"85 E India Row, Boston, MA",1,3250,5.2 km,9.3 km,4.0 km,6.9 km
"85 E India Row, Boston, MA",2,4400,5.2 km,9.3 km,4.0 km,6.9 km
"85 E India Row, Boston, MA",3,6500,5.2 km,9.3 km,4.0 km,6.9 km
"21 Cleveland Pl, Boston, MA",3,3200,6.9 km,11.1 km,4.0 km,5.6 km
"202 Corey Rd, Brighton, MA",2,2950,4.6 km,3.5 km,5.5 km,2.2 km
"1566 Tremont St, Boston, MA",3,5700,1.1 km,7.4 km,4.3 km,2.4 km
"1566 Tremont St, Boston, MA",4,7400,1.1 km,7.4 km,4.3 km,2.4 km
"245 Kelton St, Allston, MA",2,2735,4.2 km,3.1 km,5.2 km,1.9 km
"128 Roxbury St, Boston, MA 02119",5,8000,1.4 km,8.1 km,5.0 km,3.5 km
"47 Hillside St, Mission Hill, MA",3,5700,1.5 km,7.9 km,4.7 km,2.9 km
"47 Hillside St, Mission Hill, MA",4,7600,1.5 km,7.9 km,4.7 km,2.9 km
"47 Hillside St, Mission Hill, MA",5,9000,1.5 km,7.9 km,4.7 km,2.9 km
"207 Hillside St, Mission Hill, MA",3,4200,1.7 km,8.1 km,5.4 km,3.0 km
"286 Foster St, Brighton, MA",4,6200,11.2 km,5.2 km,7.6 km,4.4 km
"286 Foster St, Brighton, MA",5,7200,11.2 km,5.2 km,7.6 km,4.4 km
"64 N Margin St, Boston, MA",2,3850,6.4 km,10.5 km,3.7 km,5.1 km
"48 Englewood Ave, Brighton, MA",4,5200,5.1 km,4.3 km,6.5 km,3.6 km
"395 W Broadway, Boston, MA",2,3600,4.4 km,9.9 km,7.8 km,8.7 km
"395 W Broadway, Boston, MA",3,4400,4.4 km,9.9 km,7.8 km,8.7 km
"(undisclosed Address), Brighton, MA 02135",2,4795,10.6 km,4.6 km,10.9 km,4.1 km
"67-69 Chiswick Rd, Brighton, MA",Studio,2500,5.8 km,4.3 km,6.8 km,3.5 km
"67-69 Chiswick Rd, Brighton, MA",1,2050,5.8 km,4.3 km,6.8 km,3.5 km
"67-69 Chiswick Rd, Brighton, MA",2,2650,5.8 km,4.3 km,6.8 km,3.5 km
"67-69 Chiswick Rd, Brighton, MA",3,3750,5.8 km,4.3 km,6.8 km,3.5 km
"17 Highgate St, Boston, MA",4,4640,5.5 km,1.8 km,4.7 km,1.4 km
"782 Morton St, Mattapan, MA",3,3300,7.0 km,19.8 km,17.8 km,9.7 km
"42-44 N Beacon St, Allston, MA",3,4500,8.1 km,1.9 km,5.1 km,1.8 km
"42-44 N Beacon St, Allston, MA",4,5500,8.1 km,1.9 km,5.1 km,1.8 km
"50 Leo M Birmingham Pkwy, Brighton, MA",Studio,3325,8.0 km,1.8 km,8.1 km,6.5 km
"50 Leo M Birmingham Pkwy, Brighton, MA",1,3450,8.0 km,1.8 km,8.1 km,6.5 km
"50 Leo M Birmingham Pkwy, Brighton, MA",2,3800,8.0 km,1.8 km,8.1 km,6.5 km
"500 Leo M Birmingham Pkwy, Brighton, MA",Studio,3550,9.0 km,3.0 km,9.1 km,7.5 km
"500 Leo M Birmingham Pkwy, Brighton, MA",1,3540,9.0 km,3.0 km,9.1 km,7.5 km
"500 Leo M Birmingham Pkwy, Brighton, MA",2,4450,9.0 km,3.0 km,9.1 km,7.5 km
"28 Raymond St, Allston, MA",5,5500,6.3 km,0.8 km,4.8 km,3.5 km
"18 Gerald Rd #1, Brighton, MA 02135",6,11200,11.3 km,5.3 km,7.7 km,4.5 km
"14-15 Mount Hood Rd, Brighton, MA",1,3595,4.8 km,3.8 km,5.9 km,2.6 km
"14-15 Mount Hood Rd, Brighton, MA",2,3795,4.8 km,3.8 km,5.9 km,2.6 km
"14-15 Mount Hood Rd, Brighton, MA",3,4875,4.8 km,3.8 km,5.9 km,2.6 km
"14-15 Mount Hood Rd, Brighton, MA",4,4500,4.8 km,3.8 km,5.9 km,2.6 km
"1171-1173 Boylston St, Boston, MA",Studio,2245,1.3 km,6.5 km,3.3 km,1.2 km
"1171-1173 Boylston St, Boston, MA",1,2595,1.3 km,6.5 km,3.3 km,1.2 km
"196 Kelton St, Allston, MA",4,4400,4.4 km,3.0 km,5.1 km,1.8 km
"(undisclosed Address), Brighton, MA 02135",3,3775,10.6 km,4.6 km,10.9 km,4.1 km
"1 Fairfield Pl, Boston, MA",2,3500,7.3 km,11.4 km,5.5 km,5.8 km
"4 Garden Court St, Boston, MA",1,2375,7.4 km,10.1 km,5.7 km,5.9 km
"48 Ashford St, Boston, MA",6,7800,5.6 km,2.0 km,4.9 km,1.5 km
"48 Ashford St, Boston, MA",7,9500,5.6 km,2.0 km,4.9 km,1.5 km
"2 Lamson Ct #1B, Boston, MA 02128",4,5500,8.7 km,12.5 km,7.4 km,8.2 km
"26 Ashford St, Boston, MA",2,4575,5.5 km,1.8 km,4.7 km,1.3 km
"26 Ashford St, Boston, MA",4,4000,5.5 km,1.8 km,4.7 km,1.3 km
"18-20 Haviland St, Boston, MA",Studio,2737,1.2 km,5.8 km,2.6 km,1.1 km
"18-20 Haviland St, Boston, MA",2,4315,1.2 km,5.8 km,2.6 km,1.1 km
"2 Islington St, Allston, MA",4,5000,5.9 km,2.3 km,5.2 km,1.6 km
"2 Ayr Rd, Brighton, MA",1,2550,5.3 km,5.0 km,6.7 km,4.3 km
"80 Wallingford Rd, Boston, MA",4,4200,6.1 km,3.7 km,6.8 km,3.8 km
"122 Peterborough St, Boston, MA",Studio,2250,1.7 km,3.3 km,3.7 km,1.2 km
"(undisclosed Address), Boston, MA 02215",2,3595,3.8 km,8.7 km,5.5 km,4.4 km
"12A Gerald Rd, Brighton, MA",3,3500,11.3 km,5.4 km,7.7 km,4.5 km
"12A Gerald Rd, Brighton, MA",5,9000,11.3 km,5.4 km,7.7 km,4.5 km
"190 Green St, Boston, MA 02130",1,2695,3.7 km,7.7 km,8.0 km,5.6 km
"16 Temple St, Boston, MA",2,3800,4.3 km,8.1 km,2.7 km,3.8 km
"205 Hillside St, Boston, MA",2,3000,1.7 km,8.0 km,5.4 km,3.0 km
"205 Hillside St, Boston, MA",3,4200,1.7 km,8.0 km,5.4 km,3.0 km
"1742 Washington St, Boston, MA",2,3595,1.2 km,7.0 km,3.6 km,2.5 km
"17 Garrison St, Boston, MA",1,2600,1.6 km,6.8 km,2.9 km,1.9 km
"353 Dorchester St, Boston, MA",2,3500,2.9 km,10.8 km,8.7 km,9.5 km
"(undisclosed Address), Allston, MA 02134",Studio,2185,4.9 km,1.3 km,4.1 km,2.8 km
"407-409 Washington St, Boston, MA",2,3750,4.1 km,7.9 km,4.3 km,3.6 km
"407-409 Washington St, Boston, MA",3,4750,4.1 km,7.9 km,4.3 km,3.6 km
"47 Englewood Ave, Brighton, MA",2,3200,5.1 km,4.3 km,6.5 km,3.6 km
"41 Hobson St #2, Brighton, MA 02135",5,4800,9.7 km,3.8 km,9.8 km,4.1 km
"55 Park Dr, Boston, MA",Studio,2395,1.1 km,6.4 km,4.3 km,1.9 km
"55 Park Dr, Boston, MA",3,4295,1.1 km,6.4 km,4.3 km,1.9 km
"41 Grove St #3A, Boston, MA 02114",2,3800,4.4 km,8.2 km,2.8 km,3.9 km
"104 Warren St, Brighton, MA",2,3475,6.9 km,2.6 km,6.2 km,2.1 km
"477 Englewood Ave, Brighton, MA",1,3950,5.3 km,4.3 km,6.7 km,3.6 km
"477 Englewood Ave, Brighton, MA",2,3450,5.3 km,4.3 km,6.7 km,3.6 km
"61 Selkirk Rd, Boston, MA",1,2470,5.9 km,4.3 km,6.9 km,3.6 km
"61 Selkirk Rd, Boston, MA",2,2780,5.9 km,4.3 km,6.9 km,3.6 km
"(undisclosed Address), Allston, MA 02134",5,6200,4.9 km,1.3 km,4.1 km,2.8 km
"9 Radnor Rd, Brighton, MA",4,4800,11.2 km,5.3 km,7.5 km,4.3 km
"43 Bennett St #2, Brighton, MA 02135",5,5000,9.8 km,3.9 km,9.9 km,3.3 km
"130 Glenville Ave #1A, Allston, MA 02134",3,3300,6.4 km,2.7 km,5.6 km,1.9 km
"61-65 Brookline Ave, Boston, MA",Studio,2250,1.8 km,3.0 km,3.4 km,0.9 km
"(undisclosed Address), Allston, MA 02134",4,6250,4.9 km,1.3 km,4.1 km,2.8 km
"7 S Waverly St, Brighton, MA",3,3100,6.2 km,1.9 km,5.4 km,3.0 km
"147 Kelton St, Allston, MA",2,3100,4.6 km,2.8 km,5.3 km,2.0 km
"40 Brackett St, Brighton, MA",3,3300,12.6 km,4.7 km,10.3 km,4.7 km
"43 Orkney Rd, Brighton, MA",3,4000,5.4 km,5.1 km,6.8 km,4.3 km
"43 Orkney Rd, Brighton, MA",4,4400,5.4 km,5.1 km,6.8 km,4.3 km
"122 Elko St, Brighton, MA",Studio,2790,6.8 km,3.0 km,6.0 km,2.8 km
"122 Elko St, Brighton, MA",1,3150,6.8 km,3.0 km,6.0 km,2.8 km
"5 Spofford Rd, Allston, MA",2,3000,6.5 km,2.9 km,5.7 km,2.2 km
"452A Park Dr, Boston, MA",3,4499,1.5 km,3.5 km,3.9 km,1.4 km
"(undisclosed Address), Allston, MA 02134",3,5525,4.9 km,1.3 km,4.1 km,2.8 km
"130 Newton St, Brighton, MA",3,3300,10.0 km,4.0 km,10.1 km,8.5 km
"127-131 Sutherland Rd, Brighton, MA",1,2695,5.4 km,3.9 km,6.4 km,3.2 km
"127-131 Sutherland Rd, Brighton, MA",2,2725,5.4 km,3.9 km,6.4 km,3.2 km
"127-131 Sutherland Rd, Brighton, MA",5,6000,5.4 km,3.9 km,6.4 km,3.2 km
"(undisclosed Address), Brighton, MA 02135",1,2425,10.6 km,4.6 km,10.9 km,4.1 km
"10-20 Pratt St, Allston, MA",5,6400,5.3 km,1.6 km,4.5 km,1.7 km
"10-20 Pratt St, Allston, MA",6,6500,5.3 km,1.6 km,4.5 km,1.7 km
"(undisclosed Address), Allston, MA 02134",5,5500,4.9 km,1.3 km,4.1 km,2.8 km
"64 Brooks St, Brighton, MA",3,3100,9.5 km,3.6 km,9.6 km,8.0 km
"35 Falkland St #1, Brighton, MA 02135",3,3300,9.4 km,3.5 km,9.5 km,3.8 km
"6 Harvard Ter #1, Allston, MA 02134",3,4200,5.4 km,1.8 km,4.7 km,1.3 km
"155 Euston Rd #14, Brighton, MA 02135",Studio,2575,5.0 km,3.8 km,6.1 km,2.8 km
"10-20 Farrington Ave, Allston, MA",Studio,2360,5.4 km,1.8 km,4.6 km,1.4 km
"10-20 Farrington Ave, Allston, MA",1,2700,5.4 km,1.8 km,4.6 km,1.4 km
"10-20 Farrington Ave, Allston, MA",3,4095,5.4 km,1.8 km,4.6 km,1.4 km
"10-20 Farrington Ave, Allston, MA",5,5900,5.4 km,1.8 km,4.6 km,1.4 km
"107 Columbia Rd, Dorchester, MA",3,3400,4.1 km,15.0 km,12.9 km,7.2 km
"231 Park Dr, Boston, MA",Studio,2300,1.6 km,3.2 km,3.6 km,1.1 km
"231 Park Dr, Boston, MA",1,2625,1.6 km,3.2 km,3.6 km,1.1 km
"231 Park Dr, Boston, MA",2,3100,1.6 km,3.2 km,3.6 km,1.1 km
"20 Murdock St #2, Brighton, MA 02135",5,5200,6.7 km,2.9 km,5.9 km,2.7 km
"181 Beacon St, Boston, MA",1,3000,3.1 km,6.9 km,2.8 km,1.8 km
"26 Pratt St #1, Allston, MA 02134",4,5000,5.4 km,1.7 km,4.6 km,1.6 km
"10 Arlington St #1, Brighton, MA 02135",5,4700,9.9 km,3.9 km,6.2 km,3.0 km
"62 Gordon St, Boston, MA",2,4075,6.1 km,2.3 km,5.4 km,2.1 km
"62 Gordon St, Boston, MA",3,5195,6.1 km,2.3 km,5.4 km,2.1 km
"22 Sparhawk St #2, Brighton, MA 02135",5,5250,6.9 km,3.1 km,6.1 km,2.9 km
"1522 Commonwealth Ave #2, Brighton, MA 02135",4,4700,5.0 km,3.1 km,5.6 km,2.3 km
"50 Brooks St #2, Brighton, MA 02135",3,3200,9.4 km,3.5 km,9.5 km,7.9 km
"89-93 Westland Ave, Boston, MA",Studio,2400,0.1 km,5.9 km,2.7 km,1.2 km
