address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu,lat,lng
"100 Pier 4 | 100 Pier 4 Blvd, Boston, MA",2,4492,5.4 km,10.1 km,7.6 km,8.4 km,42.3514811,-71.0433491
"1-6 Ashford Court, 1 Ashford Ct #505, Allston, MA 02134",1,3500,5.7 km,2.0 km,4.9 km,1.2 km,42.3541631,-71.1261572
"The Eddy | 10 New St, Boston, MA",Studio,2622,8.2 km,11.9 km,6.8 km,7.7 km,42.3713139,-71.04407069999999
"The Eddy | 10 New St, Boston, MA",1,3058,8.2 km,11.9 km,6.8 km,7.7 km,42.3713139,-71.04407069999999
"The Eddy | 10 New St, Boston, MA",2,3997,8.2 km,11.9 km,6.8 km,7.7 km,42.3713139,-71.04407069999999
"Park Lane Seaport | 1 Park Ln, Boston, MA",Studio,3239,5.7 km,10.1 km,7.8 km,8.7 km,42.3479114,-71.0383665
"Park Lane Seaport | 1 Park Ln, Boston, MA",1,3515,5.7 km,10.1 km,7.8 km,8.7 km,42.3479114,-71.0383665
"Park Lane Seaport | 1 Park Ln, Boston, MA",2,4079,5.7 km,10.1 km,7.8 km,8.7 km,42.3479114,-71.0383665
"The Colonnade Residences | 118 Huntington Ave, Boston, MA",2,7200,1.7 km,6.8 km,3.0 km,2.5 km,42.3461121,-71.080483
"Alcott | 35 Lomasney Way, Boston, MA",1,3685,4.7 km,8.4 km,3.3 km,4.2 km,42.365369,-71.06474779999999
"Alcott | 35 Lomasney Way, Boston, MA",2,5230,4.7 km,8.4 km,3.3 km,4.2 km,42.365369,-71.06474779999999
"David at 775, 775 Morton St, Mattapan, MA 02126",2,2950,6.9 km,19.9 km,12.1 km,9.6 km,42.28298100000001,-71.0894564
"3-15 Carol Avenue, 3 Carol Ave #15-10, Brighton, MA 02135",2,3095,5.0 km,3.4 km,5.6 km,2.3 km,42.345205,-71.1408672
"The Smith | 89 E Dedham St, Boston, MA",Studio,3279,2.2 km,9.7 km,7.6 km,8.5 km,42.3385573,-71.06907079999999
"The Smith | 89 E Dedham St, Boston, MA",1,3480,2.2 km,9.7 km,7.6 km,8.5 km,42.3385573,-71.06907079999999
"The Smith | 89 E Dedham St, Boston, MA",2,5015,2.2 km,9.7 km,7.6 km,8.5 km,42.3385573,-71.06907079999999
"The Smith | 89 E Dedham St, Boston, MA",3,7868,2.2 km,9.7 km,7.6 km,8.5 km,42.3385573,-71.06907079999999
"30 Dalton | 30 Dalton St, Boston, MA",1,4236,1.0 km,5.9 km,2.4 km,1.4 km,42.3459101,-71.0844803
